model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
text2cad,descriptive,json,0039/00397628,True,3,0,0.75,,3,3,0.2222222222222222,0.4861111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0008/00089777,True,1,0,0.25,,3,3,0.2222222222222222,0.2361111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0075/00758810,True,0,0,0.0,,1,1,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0028/00284926,False,0,0,0.0,,1,,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0074/00741629,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0097/00973497,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0047/00474303,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0061/00616188,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0005/00051572,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0025/00253807,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0024/00242128,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0029/00292492,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0054/00547865,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
